Unit,Branch,Week,Date,Station,Due,Notes,Topic
Unit 1: Ethical Theories,Forest Park Branch,1,2026-08-24,Forest Park,,,Course introduction and conocimiento
Unit 1: Ethical Theories,Forest Park Branch,1,2026-08-26,Oak Park,,,Virtue ethics
Unit 1: Ethical Theories,Forest Park Branch,2,2026-08-31,Cicero,,,Deontological ethics
Unit 1: Ethical Theories,Forest Park Branch,2,2026-09-02,Western,,,Utilitarian ethics
Unit 1: Ethical Theories,Forest Park Branch,3,2026-09-07,,,Labor day (no class),
Unit 1: Ethical Theories,Forest Park Branch,3,2026-09-09,Illinois Medical District,Create your own trolley problem,,Care ethics
Unit 1: Ethical Theories,Forest Park Branch,4,2026-09-14,Racine,Care ethics reflection,,Review of the four ethical theories
Unit 1: Ethical Theories,Forest Park Branch,4,2026-09-16,UIC-Halsted,Food in your feed,,Algorithmic feeds and values in ranking
Unit 2: Stories,Milwaukee–Dearborn Subway,5,2026-09-21,Clinton,Select a book,,"Ethics through Fiction, Content moderation"
Unit 2: Stories,Milwaukee–Dearborn Subway,5,2026-09-23,LaSalle,,,"Ethics through Fiction, Privacy"
Unit 2: Stories,Milwaukee–Dearborn Subway,6,2026-09-28,Jackson,Online account biopsy,,"Ethics through Fiction, Privacy in data"
Unit 2: Stories,Milwaukee–Dearborn Subway,6,2026-09-30,Washington,,,"Ethics through Fiction, Justice"
Unit 2: Stories,Milwaukee–Dearborn Subway,7,2026-10-05,Clark/Lake,Online account scrap doll,Asynchronous reading and work day,Reading day (no meeting)
Unit 2: Stories,Milwaukee–Dearborn Subway,7,2026-10-07,Grand,,Asynchronous reading and work day,Reading day (no meeting)
Unit 2: Stories,Milwaukee–Dearborn Subway,8,2026-10-12,Chicago,Speculative fiction,,"Ethics through Fiction, Computing and war"
Unit 3: Contemporary Issues,Milwaukee–Dearborn Subway,8,2026-10-14,Division,,,Medical technology and cybersecurity
Unit 3: Contemporary Issues,O’Hare Branch,9,2026-10-19,Damen,Reflection on LLMs,,Intro to LLMs
Unit 3: Contemporary Issues,O’Hare Branch,9,2026-10-21,Western,,,Intellectual property
Unit 3: Contemporary Issues,O’Hare Branch,10,2026-10-26,California,Reflection on intellectual property,,Intellectual property
Unit 3: Contemporary Issues,O’Hare Branch,10,2026-10-28,Logan Square,,,Nudges and dark design patterns
Unit 3: Contemporary Issues,O’Hare Branch,11,2026-11-02,Belmont,,Guest lecture (remote; synchronous),Guest lecture
Unit 3: Contemporary Issues,O’Hare Branch,11,2026-11-04,Addison,Fairness definition; book presentations begin (assigned dates through Week 14),,Algorithmic fairness and book presentations
Unit 3: Contemporary Issues,O’Hare Branch,12,2026-11-09,Irving Park,Book presentation (assigned date),,Book presentations
Unit 3: Contemporary Issues,O’Hare Branch,12,2026-11-11,Montrose,,,Book presentations
Unit 3: Contemporary Issues,O’Hare Branch,13,2026-11-16,Jefferson Park,Book presentation (assigned date),,Book presentations
Unit 3: Contemporary Issues,O’Hare Branch,13,2026-11-18,Harlem,,,Book presentations
Unit 3: Contemporary Issues,O’Hare Branch,14,2026-11-23,Cumberland,Book presentation (assigned date),,Book presentations
Unit 3: Contemporary Issues,O’Hare Branch,14,2026-11-25,,,Student wellness day (no class),
Unit 3: Contemporary Issues,O’Hare Branch,15,2026-11-30,Rosemont,Personal ethical commitment,,Synthesis and conclusions
Unit 3: Contemporary Issues,O’Hare Branch,15,2026-12-02,O'Hare,Book report and un-essay,,Synthesis and conclusions
