title,tag,preview
Does UIC have any resources to learn ASL?,Question,Interested in learning ASL but I’ve not noticed any clubs or classes regarding it on campus. If...
% of Students That Live Near Campus?,Question,The official statistic is that around 90% of students live off campus at UIC. But how many students...
Shoutout to the IDS majors,Discussion,I feel lonely so wanna shout out some of the peeps majoring in IDS (me included)
Are there any students making their own UIC merch?,Question,I know some other colleges have student organizations make their own clothes and selling them. I was...
Any consequences of not attending orientation?,Question,"As a transfer student, will I still be able to attend classes if I miss orientation? I have been..."
is the involvement fair also happening today,,
Female roommate needed ASAP,Discussion,Hey everyone! My roommates and I are looking for **1 female roommate**! **Rent: $725/month including...
Freshman uic major change,,"Hey everyone, I'm a freshman at UIC and we are only a few days into the fall semester. Honestly, I'm..."
UIC balance for fall semester,,Does anybody else have an expensive balance who lives on campus ?
Math 181 any advice for the class,,I haven’t taken math calc since a while I was wondering if anyone has any notes or tips for this...
Lost my gold ring!!!,Question,# Title is pretty much the entire situation. I lost my gold ring around 2:30pm friday in the first...
Comprehensive list of prohibited behaviors in my suitemate agreement,,*I tried to cover all my bases. Let me know if I missed anything.* *The following is the current...
Please learn to park,,"I’m being so serious, it’s one thing to suck at parallel parking, but to suck at just simply pulling..."
