title,tag,preview
Way to build up your resume?,Question,"hi guys, I'm a sophomore in Finance, currently suffering when seeing most of my friends start..."
(Rant) PUT. YOUR. SHOES. ON.,Discussion,"I AM SO FUCKING DISGUSTED HERE. Like I go into the Dunkin in SCE, I sit down at a desk to look down,..."
FAFSA Refund Money,Question,"Hi, I just wanted to know if any student got a refund from the FAFSA disbursement recently because I..."
Advising is the worst part of this school,,"I forgot to submit my advising form until last tuesday which is completely my fault, but I sent my..."
Transfer Business Fellows Program,,"Hello to anyone who is a new transfer student, you should definitely consider joining the transfer..."
Commons west SEWAGE leak.,,Background. I just moved in to my cmw room TODAY. my roommate warned me that there was a small leak...
"PSA: If you’re sick, wear a mask or at least cover your mouth when you’re coughing/sneezing",Discussion,No one else wants to catch your cold/flu germs Note: sorry if the PSA is unnecessary but I kept...
Registering for BA320??,Question,"Hi everyone, I’m a rising senior and this upcoming semester will be my final semester here at UIC..."
Please follow the parking garage arrows,,Why are we driving the wrong way in the parking garages.. Almost got hit today.
is SALT burgers open in little italy ?,Question,I swear i saw some people eating in there already but can’t find anything online
Federal loans not applied yet?,Question,Hey guys Has anyone else accepted loans (sub & unsub) but not showing up in my UIPay but it showed...
Cant connect to wifi - it loads and prompts me to enter again,,Got a new laptop - im a senior - and it can't connect to the wifi for its life? My user and password...
