title,tag,preview
Can you guys share your experience with haircuts at Paul Mitchell?,Question,"Great deals supposedly with UIC ID so why not, i just wanna look sexy."
Can I File an Academic Advisor Complaint?,Question,Question: is there any way to file an anonymous complaint about advisors? De’Jah Phillips (my LAS...
Italian Food Nearby,,Anyone know a good Italian place near campus? Bro is in town and he’s from Genoa.
Somewhat normal anime fans?,Question,I'm a transfer junior looking to make friends w similar interests.. I'm into anime/manga/vidya etc....
Junior civil engineering major taking 17 credits but I wanna drop a class,,I’m behind in CME260 which is properties of materials (3 credits). Chemistry is my worst subject...
Hey guys!! looking for a crash out spot!,,Hiiiii i just really need somewhere on campus where i can really crashout!!! somewhere preferably...
forgot to opt out of campus care,,i completely forgot to opt out of this and now i owe $750. that’s a lot of money to take out of my...
On campus jobs,,Hey guys I’ve applied to quite a few on campus jobs and was wondering how long does it usually take...
Incoming EE Grad,Discussion,Late post. Is anyone here in the same situation where you will be taking EE 225? I have a bachelor's...
+1hr for parking pass,,"anyone looking to get their parking pass, i recommend you come after your classes. i’ve been in line..."
Financial aid redact?,Question,In the spring and summer I received two payments from the uic department saying they credit and...
Lost my dorm key...,,"Hello guys, I'm posting here in case anyone has had this happen to them too, but essentially I lost..."
