title,tag,preview
Any trekkies on campus,,I want some star trek friends
Clubs at Uic?,Question,I want to try making friends at UIC as a second year and I know it’s hard because most commute (me)....
Is it too late for dorms?,Question,I just lost my apt at the very last moment so I was wondering if dorms are even an option anymore or...
Does anyone know different social groups on campus?,Question,I have to do an ethnography for 5 informal groups where I ask a handful of questions and get some...
When will refunds be deposited?,Question,Does anyone know when refunds will be deposited into our bank accounts? I heard someone say they...
We have to do better about the bathrooms,Discussion,Ladies our bathrooms shouldn’t be nasty I just tried to use the bathroom in Stevenson Hall it was...
Weird question but does anyone know where you can get plastic utensils?,Question,I have a bad habit of forgetting to bring them and was wondering if there is anywhere where you can...
Looking for a gym partner,,Im an exchange student and this is my first semester here. Searching for someone to go to the gym...
Tennis club at UIC,,Has anyone here attended the tennis club? If so how was the turnout? How many people go? I'm not a...
Did y’all leave your manners at home?,Question,"Y’all get to college and all your manners, if you had any, just go out the window. Bumping into me..."
Sports clubs to hang with,Question,"Hi guys. I have a complete fucked schedule. I mean 18 credit hours, organic chem, physics, bio,..."
New BSB pizza,,The pizza place at BSB has a new name from last year (BSB Pi instead of Pizza 8). They’re also...
Is IPAD worth it for stem? How do you take notes?,Question,"Hi! I’m an incoming freshman majoring in biology, and I’m trying to figure out how I should take..."
